Part,Change,Page
```
262.3,"""(b)(1)(i)(A) and (C) removed; (b)(1)(i)(B)", (D) and (E) redesignated as (b)(1)(i)(A)," (B) and (C)""",58622
263.201,"""(a)amended""",58621
263.203,"""(a)(1)(i)(A)amended""",58621
263.205,"""(b)(2)amended""",58621
263.302,"""(a)revised; interim""",55488
265.7,"""(f)(6)(i) and (ii)amended""",58621
265.9,"""(a) introductory text", (1), (c)(1)," (4) and (5) revised; (a)(8) and (d) through (g) added""",65044
265.11,"""(f) revised""",2839
265.11,"""(a)(7) amended""",58621
265.11,"""(e)(1)", (3), (4) introductory text, (5) introductory text," (7) and (12) revised; (e)(8) amended""",58622
```
