Part,Change,Page
230.4, (c)(1) amended, 15081
230.5, (a)(2)(ii) revised, 15081
230.8, (e) revised, 15081
230, Appendix A amended, 15082
245, Heading revised, 50512
262, Authority citation revised, 47986
262.3, (b)(1)(i)(D) removed; (b)(1)(i)(E) and (F) redesignated as (b)(1)(i)(D) and (E); (b)(2) amended; (b)(3) added; (j) introductory text revised, 47986
263, Authority citation revised, 6363
263.51, (c) revised, 6363
264b, Authority citation revised, 57730
264b.3, (c) and (d) correctly revised; CFR correction, 38702
265, (a) amended, 57730
265, Authority citation revised, 26509
265.5, (c)(3) added, 26509
265.6, (b)(2) revised; (f) added, 6363
265.6, (c)(5) removed, 26509
265.6, (g) added, 53394
265.7, (d)(8) revised, 6363
265.7, (c)(5) removed; (c)(6) redesignated as (c)(5), 26509
265.9, (c)(4) amended; (c)(5) added, 65540
265.11, (d)(11) added, 6363
268, Revised; interim, 9518
