Part,Change,Page
```
211.20,Redesignated from 211.21; (b)(3) through (8) revised; (b)(9) and (c) added,6358
211.21,Redesignated as 211.20; new 211.21 redesignated from 211.22 and revised,6358
211.22,Redesignated as 211.21,6358
211.22,Redesignated from 211.23,6359
211.23,Redesignated as 211.22; new 211.23 redesignated from 211.24; (a) through (h) redesignated as (b) through (i); new (a) added,6359
211.24,Redesignated as 211.23; new 211.24 redesignated from 211.25 and revised,6359
211.24,(f) added,47209
211.25,Redesignated as 211.24; new 211.25 redesignated from 211.26 and revised,6359
211.26,Redesignated as 211.25; new 211.26 redesignated from 211.27 and revised,6359
211.27,Redesignated as 211.26; new 211.27 redesignated from 211.28 and revised,6359
211.28,Redesignated as 211.27; new 211.28 redesignated from 211.29 and revised,6359
211.29,Redesignated as 211.28,6359
211.29,Added,6362
211.31,(b)(4) amended,46076
211.41,(b) amended,46076
211.42,(a) amended,46076
212,Heading revised,50512
213,Heading revised,50512
214,Heading revised,50512
215,Authority citation revised,26508, 61804
215,Heading revised,50512
215.4,(d)(3) added,26508
215.4,(d)(2) introductory text amended; interim,28494, 61804
216,Heading revised,50512
217,Regulation at 57 FR 43336 eff. date delayed to 6-21-93,15076
217,Heading revised,50512
217.1,Regulation at 57 FR 43336 eff. date delayed to 6-21-93,15076
217.4,Regulation at 57 FR 43336 eff. date delayed to 6-21-93,15076
217.6,Regulation at 57 FR 43336 eff. date delayed to 6-21-93,15076
217.101,Regulation at 57 FR 43336 eff. date delayed to 6-21-93,15076
```
