Part,Change,Page
12 CFR Part,"(f) revised",61248
217.5,"(b) amended",61248
217.7,"(b)(1) revised; (e) added",20286
220,"OTC margin stock list... 968",41605
220,"OTC margin stock list corrected",46275
220.3,"(d)(5) and (i) temporarily suspended in part; eff. 1-1-77",753
220.3,"(ii)(4) revised",22862
221,"OTC margin stock list... 968",41605
221,"OTC margin stock list; corrected",46275
224,"OTC margin stock list... 968",41605
224,"OTC margin stock list; corrected",46275
225.5,"(d) and (e) added",49444
225.5,"(c)(4) added",65569
225.136,"Added; eff. 12-22-76",1263
225.137,"Added; correctly designated","1263, 2951"
225.138,"Added",10969
226,"Staff interpretations","1264, 3827, 5690, 7948, 9384, 10680, 12851, 13103, 13296, 14859, 16130, 17865, 18056, 22360, 25489, 25491, 27570, 28520, 30148, 31430, 35147, 38174, 40424, 42845, 43057, 45895, 46916, 53947, 55880, 58163, 61248, 64106"
226.1,"(c) amended",3
226.1,"(d)(1) and (3) amended",2950
226.2,"(x) corrected",753
226.2,"(tt), (uu), and (vv) added",38173
226.4,"(i)(1) introductory text, (i) and (iii) and (2) amended; (i)(5) and footnote 5a added; (i)(4) revised",38173
226.5,"(a)(3)(ii) amended",38173
226.6,"(d) and (g) amended",3
226.6,"(a) amended",20455
226.7,"(k)(3)(ii) effective date postponed to 3-28-78",45897
226.8,"(b)(8) added",20456
226.10,"(h) amended",3
226.13,"(l)(1)(i) amended",38173
226.15,"(a) and (b)(5), (9), (11), and (15)(iii) amended",3
226.709,"Added",42844
226.810,"Removed",20456
226.821,"Added",19125
226.1501,"Added",10971
226.1502,"Added",10974
226.1503,"Added",10976
