Part,Change,Page
225.170—225.175 (Subpart J),"Added; interim","16472"
225,"Appendix E amended; interim; eff. 1-4-01","75859"
226.5,"Footnote 9 revised","58908"
226.5a,"(a)(3) revised","17131"
226.5a,"(a)(2)(ii), (5), (b) introductory text and (1) introductory text revised; (b)(11) added","58908"
226.12,"(g) revised","17131"
226,"Supplement I amended","17131, 58910, 70465"
226,"Appendix G amended","58908"
261a,"Authority citation revised","34392"
261a.13,"(b)(6) removed; (b)(7), (8) and (9) redesignated as (b)(6), (7) and (8); new (b)(9) added","34392"
263.65,"Revised","60584"
269a.4,"Amended; interim","2530"
269a.5,"Amended; interim","2530"
272.3,"(a) and (b) amended","6320"
272.4,"(b) amended","6320"
