Part,Change,Page
225,"Appendix A added; interim; eff. 1-30-91","53617, 53612"
225.71—225.73 (Subpart H),"Added; interim","6790"
225,"Appendix A amended","32832"
225,"Appendix B amended","32832"
225,"Appendix D added","32832"
226,"Supplement I amended","13106"
226,"Corrected","17750"
226,"Preemption determination; eff. 10-1-91","31815"
226.5b,"(f) introductory text, (3) introductory text, and (vi) introductory text republished; (f)(3)(i), (vi)(E), and (F) revised; (f)(3)(vi)(G) removed","38312"
226.5b,"(f)(3)(i) corrected","39538, 42148"
226.9,"(c)(3) revised","38312"
226.9,"(c)(3) corrected","39538, 42148"
226,"Appendix G amended","38312"
228,"Authority citation revised","26626"
228.4,"(f) revised; interim","26627"
228.5,"(a)(2) and (3) redesignated as (a)(3) and (4); new (a)(3), (4), (c)(1), and (2) revised; new (a)(2), new (c)(3), and (d) added; interim","26627"
228.6,"Existing text designated as (a) and amended; (b) added; interim","26627"
229.3,"(a)(2) revised","21855"
229.12,"(a), (b) introductory text, and (c)(1) introductory text revised; (b)(3) removed; (b)(4) and (5) redesignated as (3) and (4); new (b)(4) revised; (d) amended; (f) added; interim","50818"
229.13,"(h)(4) revised","21855"
229.30,"(c) revised","21855"
229.35,"(a) revised","21855"
229.36,"(e) concluding text amended; eff. 2-1-91","21855"
229,"Appendix F amended","11358"
229,"Appendixes A and C amended","21855"
229,"Appendix E amended","21856"
229,"Appendixes C and E amended; interim","50818"
250.101—250.103,"Redesignated as 208.125—208.127","52987"
250.104,"Removed","52987"
261.10,"Amended; interim; eff. 1-2-91","49877"
264b.3,"(a) revised","3576"
265,"(a) amended","11360"
265.2,"(c)(18) revised","30000"
300,"(c)(20) amended","41185"
