"Part","Change","Page","year","fedreg_number"
"201","Authority citation revised","512",2019,84
"201.51","(a) and (b) revised","512, 39724, 52753, 59924",2019,84
"204.4","(f) revised","64706",2019,84
"204.10","(b)(5) revised","513, 20542, 39725, 52754, 59926",2019,84
"206.2","(g) revised","61796",2019,84
"206.5","(a)(4) added","61796",2019,84
"208","Authority citation revised","29051, 61796",2019,84
"208.2","(d) revised","4240",2019,84
"208.2","Regulation at 84 FR 4240 eff. date delayed to 7-1-19","11879",2019,84
"208.2","(d)(3) added","61796",2019,84
"208.25","(b)(7) through (11) revised; (b)(12), (13), (14), and (c)(3) added","4970",2019,84
"208.43","(a) and (b) revised","61796",2019,84
"208.43","Correction: (a), (b) introductory text, and (1) revised","70887",2019,84
"208.101-208.105 (Subpart I)","Removed","21692",2019,84
"208.120-208.124 (Subpart K)","Added","29051",2019,84
"209","Nomenclature change; eff. 1-15-2020","68326",2019,84
"211","Nomenclature change","61797",2019,84
"211.2","(c)(1) revised","4241",2019,84
"211.2","Regulation at 84 FR 4241 eff. date delayed to 7-1-19","11879",2019,84
"211.2","(b), (c), and (x) revised","61797",2019,84
"211.9","(a) footnote 5 redesignated as (a) footnote 1","61797",2019,84
"211.24","(k) removed","21692",2019,84
"211.43","(c)(4) revised","4241",2019,84
"211.43","Regulation at 84 FR 4241 eff. date delayed to 7-1-19","11879",2019,84
"212.3","(c) amended","54471",2019,84
"213","Supplement I amended","58018",2019,84
"215.2","(i) revised","4241",2019,84
"215.2","(i)(3) added","61797",2019,84
"215.2","Regulation at 84 FR 4241 eff. date delayed to 7-1-19","11879",2019,84
"217","Authority citation revised","61797",2019,84
"217.1","(f)(5) added","59269",2019,84
"217.2","Amended","4241, 35259, 59270",2019,84
"217.2","Regulation at 84 FR 4241 eff. date delayed to 7-1-19","11879",2019,84
"217.2","Amended; eff. 4-1-20","68032",2019,84
"217.10","(c)(3)(ii)(A) amended","4242",2019,84
"217.10","Regulation at 84 FR 4242 eff. date delayed to 7-1-19","11879",2019,84
"217.10","(c)(4)(ii)(H) revised","35259",2019,84
"217.10","(a)(5), (c) introductory text, and (4)(i) introductory text revised","59271",2019,84
"217.10","(a) revised","61797",2019,84
"217.11","(a)(2)(i), (iv), (3)(i), and Table 1 revised","35259",2019,84
"217.11","(b)(1) introductory text and (ii) revised","59271",2019,84
"217.12","Added","61797",2019,84
"217.20","(d)(3) amended","4242",2019,84
"217.20","Regulation at 84 FR 4242 eff. date delayed to 7-1-19","11879",2019,84
"217.20","(b)(1)(iii), (4), (c)(2), (d)(2), and (5) revised; (f) added","35260",2019,84
"217.21","Revised; eff. 4-1-20","35260",2019,84
"217.21","Regulation at 84 FR 35260 eff. date revised as 1-1-20","61804",2019,84
"217.22","(c) footnote 23 amended","4242",2019,84
"217.22","Regulation at 84 FR 4242 eff. date delayed to 7-1-19","11879",2019,84
"217.22","(a)(1)(i), (c), (d), (g), and (h) revised; eff. 4-1-20","35261",2019,84
"217.22","(b)(2)(ii) revised","59271",2019,84
"217.22","(f) revised","61798",2019,84
"217.22","Regulation at 84 FR 35261 eff. date revised as 1-1-20","61804",2019,84
"217.32","(b), (d)(2), (3)(ii), (k), and (l) revised","35264",2019,84
"217.34","(c) revised","35265",2019,84
"217.35","(b)(3)(ii), (4)(ii), (c)(3)(ii), and (4)(ii) revised","35266",2019,84
"217.36","(c) revised","35266",2019,84
"217.37","(b)(2)(i) revised","35266",2019,84
"217.38","(e)(2) revised","35266",2019,84
"217.42","(j)(2)(ii)(A) revised","35266",2019,84
"217.52","(b)(1) and (4) revised","35266",2019,84
"217.61","Revised","35267",2019,84
"217.63","Table 5 amended","4242",2019,84
"217.63","Regulation at 84 FR 4242 eff. date delayed to 7-1-19","11879",2019,84
"217.63","Table 3 and Table 8 revised","35267",2019,84
"217.63","(d) and (e) added","59271",2019,84
"217.100","(b)(1) revised","59271",2019,84
"217.100","(b)(2) removed; (b)(3) redesignated as new (b)(2)","59271",2019,84
"217.124","(a) and (b)(2) amended","4242",2019,84
"217.124","Regulation at 84 FR 4242 eff. date delayed to 7-1-19","11879",2019,84
"217.131","(d)(2) revised","35268",2019,84
"217.133","(b)(3)(ii) and (c)(3)(ii) revised","35269",2019,84
"217.152","(b)(5) and (6) revised","35269",2019,84
"217.172","(d)(2) revised","59271",2019,84
"217.173","Table 2, Table 3, and Table 5 amended","4242",2019,84
"217.173","Regulation at 84 FR 4242 eff. date delayed to 7-1-19","11879",2019,84
"217.173","Heading and (a)(2) revised","59272",2019,84
"217.202","(b) amended","35269",2019,84
"217.210","(b)(2)(ii) and (vii)(A) revised","35269",2019,84
"217.300","(c)(2) and (3) revised; (b) and (d) removed; eff. in part 4-1-20","35269",2019,84
"217.300","(g) added","61807",2019,84
"217.300","Regulation at 84 FR 35269 eff. date revised as 1-1-20","61804",2019,84
"217.301","Added","4243",2019,84
"217.301","Regulation at 84 FR 4243 eff. date delayed to 7-1-19","11879",2019,84
"217.400","(b)(1), (2) introductory text, and (i) revised; (b)(3) removed","59075",2019,84
"223.3","(d) revised","4244",2019,84
"223.3","Regulation at 84 FR 4244 eff. date delayed to 7-1-19","11879",2019,84
"223.3","(d)(4) added","61798",2019,84
"225.2","(h) revised; (r)(1) footnote 2 redesignated as (r)(1) footnote 1; (r)(4) added","61799",2019,84
"225.8","(f)(2)(ii)(B) revised","8958",2019,84
"225.8","(b)(1)(i), (2), (3), and (c) revised","59075",2019,84
"225.14","(a)(1)(ii) footnote 3 redesignated as (a)(1)(ii) footnote 1; (a)(1)(v)(A), (vii), (c)(6)(i)(A), and (B) revised; (c)(6)(iii) and (f) added","61799",2019,84
"225.14","Correction: (a)(1)(ii) footnote 3 redesignated as (a)(1)(ii) footnote 1; (a)(1)(v), (vii), (c)(6)(i)(A), and (B) revised; (c)(6)(iii) and (f) added","70887",2019,84
"225.22","(d)(8)(vi) added","61800",2019,84
"225.23","(a)(1) footnote 2 redesignated as (a)(1) footnote 1; (a)(1)(iii) and (c)(5)(i) revised; (c)(5)(iii) and (e) added","61800",2019,84
"225.24","(a)(2)(iv)(B) and (vi) revised","61801",2019,84
"225.62","(f) revised; (k) through (n) redesignated as (l) through (o); new (k) added","53597",2019,84
"225.63","(a)(1) and (d)(3) revised; (a)(13) and (14) amended; (a)(15) added","53597",2019,84
"225.63","(b) revised","53598",2019,84
"225.64","Introductory text revised; (c), (d), and (e) redesignated as (d), (e), and (f); new (c) added","53598",2019,84
"225.87","(b)(4)(iv) added","61801",2019,84
"225.127","(a), (d), and section amended; (h) revised","4244",2019,84
"225.127","Regulation at 84 FR 4244 eff. date delayed to 7-1-19","11879",2019,84
"225.174","(d) added","61801",2019,84
"225.175","(c)(3) added","61801",2019,84
"226","Supplement I amended","58015, 58022",2019,84
"228.12","(u)(1) revised","71740",2019,84
"229.1","(a) revised; eff. 7-1-20","31695",2019,84
"229.2","(c), (ff), and (jj) revised","31696",2019,84
"229.10","(c)(1)(vii)(A) amended; eff. 7-1-20","31696",2019,84
"229.11","Added; eff. 7-1-20","31696",2019,84
"229.12","(d) amended; eff. 7-1-20","31696, 45403",2019,84
"229.12","(e) introductory text and (1) revised","31696",2019,84
"229.13","(a)(1)(ii), (b), and (d)(2) amended; eff. 7-1-20","45403",2019,84
"229.21","(a)(2)(i) amended; eff. 7-1-20","31697",2019,84
"229.21","Amended; eff. 7-1-20","45403",2019,84
"229.43","Removed","31697",2019,84
"229","Appendix E amended; eff. 7-1-20","31697",2019,84
"237.1","(h) added; interim","9948",2019,84
"238","Authority citation revised","54472, 59076",2019,84
"238.2","(v) through (ss) added","59076",2019,84
"238.10","Added","59077",2019,84
"238.53","(c)(2)(iii)(B) and (v) revised","61801",2019,84
"238.54","Amended","4309",2019,84
"238.93","(c) amended","54472",2019,84
"238.118-238.119 (Subpart M)","Added","59077",2019,84
"238.120-238.123 (Subpart N)","Added","59078",2019,84
"238.130-238.135 (Subpart O)","Added","59083",2019,84
"238.140-238.146 (Subpart P)","Added","59085",2019,84
"238.150-238.158 (Subpart Q)","Added","59087",2019,84
"238.160-238.162 (Subpart R)","Added","59095",2019,84
"242.1","(b)(2)(ii)(B) revised","59096",2019,84
"242.4","Revised","59096",2019,84
"243","Heading revised","59227",2019,84
"243.1","(a) amended","59227",2019,84
"243.13","Added","59227",2019,84
"248","Heading revised","35020",2019,84
"248.1","(c) revised","35020",2019,84
"248.2","(r) revised","35020",2019,84
"248.2","Revised","62129",2019,84
"248.3","(e)(5) through (13) redesignated as (e)(6) through (14); (d)(10) through (13) and new (e)(5) added; (b), (d)(3), (8), (9), new (e)(11), new (12), and new (14) revised","62131",2019,84
"248.4","Revised","62132",2019,84
"248.5","(b) and (c)(1) introductory text revised; (c)(4) added","62134",2019,84
"248.6","(e)(3) revised; (e)(4) and (6) removed; (e)(5) redesignated as new (e)(4)","62135",2019,84
"248.10","(d)(9)(iii) revised","35020",2019,84
"248.10","(c)(7)(ii) and (8)(i)(A) revised","62136",2019,84
"248.11","(a)(6) revised","35020",2019,84
"248.11","(c) revised","62136",2019,84
"248.11","Regulation at 84 FR 35020 corrected","38115",2019,84
"248.12","Second (e)(2)(vi) redesignated as (e)(2)(vii)","62136",2019,84
"248.13","(a), (b)(3), (4), and (c) revised","62136",2019,84
"248.14","(a)(2)(ii)(B) revised","62137",2019,84
"248.20","(a), (b) introductory text, (c), (d), (e) introductory text, and (f)(2) revised; (g), (h), and (i) added","62137",2019,84
"248","Appendix A revised","62138",2019,84
"248","Appendix B removed","62140",2019,84
"248","Appendix Z added (temporary)","62140",2019,84
"249","Authority citation revised","59272",2019,84
"249.1","Revised","59272",2019,84
"249.3","Regulation at 83 FR 44455 confirmed","25978",2019,84
"249.3","Amended","59272",2019,84
"249.10","(a) revised; (b) redesignated as (c); new (b) added","59275",2019,84
"249.20","Regulation at 83 FR 44455 confirmed","25978",2019,84
"249.21","Regulation at 83 FR 44455 confirmed","25978",2019,84
"249.22","Regulation at 83 FR 44455 confirmed","25978",2019,84
"249.30","(a) revised; (c) and (d) added","59275",2019,84
"249.50","Revised","59275",2019,84
"249.60--249.64 (Subpart G)","Removed","59276",2019,84
"249.90","(a) and (b) revised","59276",2019,84
"249.91","(a) Table 1 and (b)(1)(i)(B) amended; (b)(1)(ii) removed; (b)(1)(iii) redesignated as new (b)(1)(ii); (c)(32) and (33) revised; (c)(34) and (35) added","59276",2019,84
"251.3","(c)(2) revised; (c)(3) added","61802",2019,84
"252","Authority citation revised","59096",2019,84
"252.1","Revised","59096",2019,84
"252.2","Revised","59096",2019,84
"252.3","(c) added","59098",2019,84
"252.5","Added","59099",2019,84
"252.10--252.17 (Subpart B)","Heading revised","59099",2019,84
"252.11","Revised","59100",2019,84
"252.12","(m) revised","4245",2019,84
"252.12","Regulation at 84 FR 4245 eff. date delayed to 7-1-19","11879",2019,84
"252.12","Revised","59100",2019,84
"252.13","Revised","59100",2019,84
"252.14","Revised","59100",2019,84
"252.15","(a)(1) and (2) revised","4245",2019,84
"252.15","Regulation at 84 FR 4245 eff. date delayed to 7-1-19","11879",2019,84
"252.15","(a) introductory text and (b) revised; (c) removed","59101",2019,84
"252.16","(b)(3) revised","4245",2019,84
"252.16","Regulation at 84 FR 4245 eff. date delayed to 7-1-19","11879",2019,84
"252.16","(a) and (b) revised","59101",2019,84
"252.17","(b)(1)(iii)(C), (3)(iii)(C), and (c)(1) revised","4245",2019,84
"252.17","Regulation at 84 FR 4245 eff. date delayed to 7-1-19","11879",2019,84
"252.17","(a) and (b) revised","59102",2019,84
"252.20--252.22 (Subpart C)","Heading revised","59102",2019,84
"252.21","Revised","59102",2019,84
"252.22","Revised","59102",2019,84
"252.30--252.35 (Subpart D)","Heading revised","59103",2019,84
"252.30","Revised","59103",2019,84
"252.31","Revised","59103",2019,84
"252.32","Revised","59103",2019,84
"252.33","(a)(1) and (b)(1) revised","59103",2019,84
"252.34","(a)(1) introductory text, (c)(1)(i), (d), (e)(1), (f)(1), (2)(i), (g), and (h) revised","59103",2019,84
"252.35","(a)(1) introductory text, (2), (7)(i), (ii), (b)(1), and (3) revised; (a)(8) added","59105",2019,84
"252.40--252.47 (Subpart E)","Heading revised","59105",2019,84
"252.41","Revised","59105",2019,84
"252.42","(l) revised","4245",2019,84
"252.42","Regulation at 84 FR 4245 eff. date delayed to 7-1-19","11879",2019,84
"252.42","Revised","59106",2019,84
"252.43","(a) revised","59106",2019,84
"252.44","Heading, (a)(1), and (b) revised; (c) added","59106",2019,84
"252.45","(b)(2) revised","4245",2019,84
"252.45","Regulation at 84 FR 4245 eff. date delayed to 7-1-19","11879",2019,84
"252.50--252.58 (Subpart F)","Heading revised","59107",2019,84
"252.51","Revised","59107",2019,84
"252.52","(m) revised","4246",2019,84
"252.52","Regulation at 84 FR 4246 eff. date delayed to 7-1-19","11879",2019,84
"252.52","Revised","59107",2019,84
"252.53","Revised","59107",2019,84
"252.54","Heading, (a), (b)(2)(i), (4)(ii), and (iii) revised","59108",2019,84
"252.55","Removed","59108",2019,84
"252.56","(a)(1) and (2) revised","4246",2019,84
"252.56","Regulation at 84 FR 4246 eff. date delayed to 7-1-19","11879",2019,84
"252.56","(a) introductory text, (b) introductory text, (c)(1), and (2) revised","59109",2019,84
"252.57","(a) revised","59109",2019,84
"252.58","(b)(2), (3)(ii), and (c)(1)(ii) revised","4246",2019,84
"252.58","Regulation at 84 FR 4246 eff. date delayed to 7-1-19","11879",2019,84
"252.58","(a)(1) revised","59109",2019,84
"252.70","(a) and (d)(1) revised","59109",2019,84
"252.120--252.122 (Subpart L)","Removed","59109",2019,84
"252.130--252.132 (Subpart M)","Heading revised","59109",2019,84
"252.131","Revised","59109",2019,84
"252.132","Heading, (a) introductory text, and (d) revised","59109",2019,84
"252.140--252.147 (Subpart N)","Heading revised","59109",2019,84
"252.140","Revised","59110",2019,84
"252.142","Revised","59110",2019,84
"252.143","Heading, (a)(1) introductory text, (b), and (c) revised","59110",2019,84
"252.144","Revised","59110",2019,84
"252.145","Heading and (a) revised","59111",2019,84
"252.146","Heading, (b)(1) introductory text, (2)(i), (c)(1)(ii), and (iii) revised","59112",2019,84
"252.147","Added","59112",2019,84
"252.150--252.158 (Subpart O)","Heading revised","59114",2019,84
"252.150","Revised","59114",2019,84
"252.152","Revised","59114",2019,84
"252.153","Heading, (a)(1), (3), (c), (d), and (e) revised; (a)(2) heading added","59114",2019,84
"252.154","Heading, (a)(1), (b), and (c) revised","59116",2019,84
"252.155","Heading, (a)(1), (3), and (b)(1) revised","59116",2019,84
"252.156","Heading, (a)(1) introductory text, (b)(1), (2), (3)(i), (4), (5), (6), (c)(1), (2)(ii), (d)(1), (e)(1), (2)(i)(A), (C), (ii)(A), (f), and (g) revised","59116",2019,84
"252.157","Heading, (a)(1)(i) through (iv), (2), (7)(i), (ii), (iii), (b), (c)(1), and (7)(i) through (iv) revised; (a)(8) and (c)(7)(v) added","59118",2019,84
"252.158","Heading, (b)(1) introductory text, (2)(i), (c)(1) introductory text, and (2) introductory text revised","59119",2019,84
"252.170","Revised","59119",2019,84
"252.171","(f)(1) revised; (aa) removed; (bb) through (ll) redesignated as new (aa) through (kk)","59120",2019,84
"252.172","(a), (b), (c) introductory text, and (2) revised; (c)(1) removed","59120",2019,84
"252.173","(b)(1) and (2) revised; (b)(3) added","59120",2019,84
"252.175","(a)(1) revised","59121",2019,84
"252.176","(a)(1) and (2)(i) revised","59121",2019,84
"252.178","(a)(1), (2), and (c)(2) revised","59121",2019,84
"252","Appendix A revised","6655, 59121",2019,84
"252","Appendix B added","6668",2019,84
"263.65","Revised","2052",2019,84
"265","Amended","31705",2019,84
"265.5","(d)(1) and (3) removed","31705",2019,84
"265.7","Heading, (d)(1), and (3) revised; (d)(4), (5), (7), and (9) through (13) removed; (e)(7) added","31705",2019,84
"265.11","(a)(10), (c) heading, (11)(v), (d)(1) through (8), (10), (11), (12), and (e)(12) revised; (a)(17), (c)(12), (d)(13), (14), and (15) added","31705",2019,84
"267","Added","15503",2019,84
"268.1","(b) revised","27028",2019,84
"268.101","Revised","27029",2019,84
"268.102","(a)(4), (b)(3), and (4) revised; (b)(1), (5), and (6) amended","27029",2019,84
"268.103","(a) revised","27029",2019,84
"268.104","(a) introductory text and (d) revised","27029",2019,84
"268.106","(a)(4) removed; (a)(5) revised","27029",2019,84
"268.107","(e)(2) amended; (g) redesignated as (h); new (g) added","27029",2019,84
"268.108","(g) heading revised","27030",2019,84
"268.201","(a) and (c) introductory text revised","27030",2019,84
"268.203","Revised","27030",2019,84
"268.204","(i), (j), and (k) revised; (l)(3) amended","27034",2019,84
"268.205","Removed","27034",2019,84
"268.302","Removed","27034",2019,84
"268.401","(c) revised","27034",2019,84
"268.403","(a) revised; (g) added","27034",2019,84
"268.405","Revised","27034",2019,84
"268.502","(b)(2) and (c) revised","27034",2019,84
"268.504","(c) revised","27035",2019,84
"268.710","(c) and (d)(4) revised; section amended","27035",2019,84
