Part,Change,Page
207,"OTC margin stock lists","2667, 18495, 39556, 55555"
207,"Authority citation revised","60166"
207.114,"Added","60166"
208,"Authority citation revised","45704, 47369"
208.8,"(e) and Appendix A removed","45704"
208.13,"Revised","47369"
208.20,"Revised","4343"
208.23,"Added","45704"
208,"Appendix D amended","43951"
208,"Appendix A amended; Appendix E added","47370"
211.8,"Amended","4344"
211.20,"(b)(8) and (9) amended; (b)(10) added","39053"
211.22,"(a) revised; (c) removed; (d) redesignated as (c)","24440"
211.24,"(a)(2)(i) and (ii) revised; (d)(3) redesignated as (d)(4); new (d)(3) added","2901"
211.24,"(f) amended","4344"
211.24,"(g) added","39053"
211.30,"Added","6921"
212,"Revised","40302"
213.1,"Revised","52258"
213.2,"Revised","52258"
213.3,"Revised","52259"
213.4,"Revised","52259"
213.5,"Revised","52260"
213.6,"Removed","52258"
213.7,"Revised","52261"
213.8,"Revised","52261"
213.9,"Added","52261"
213,"Appendix D removed","52258"
213,"Appendix A revised","52262"
213,"Appendixes B and C revised; Supplement I amended","52269"
215.2,"(e)(2)(i) revised","57770"
215.2,"Regulation at 61 FR 57770 eff. date corrected to 11-8-96","58782"
215.4,"(a) introductory text, (1) and (2) redesignated as (a)(1) introductory text, (i) and (ii); new (a)(1) heading and new (2) added","57770"
215.4,"Regulation at 61 FR 57770 eff. date corrected to 11-8-96","58782"
218,"Removed","57289"
218.101,"Redesignated as 250.400","57289"
218.102,"Redesignated as 250.401","57289"
218.103,"Redesignated as 250.402","57289"
218.104,"Redesignated as 250.403","57289"
218.105,"Redesignated as 250.404","57289"
218.106,"Redesignated as 250.405","57289"
