Part,Change,Page
220.115,Removed,20398
220.116,Removed,20398
220.120,Removed,20398
220.125,Removed,20398
220.129,Removed,20398
220.130,Removed,20398
220.132,Added,60167
221,OTC margin stock lists,2667, 18495, 39556, 55555
,Authority citation revised,60167
221.125,Added,60167
224,OTC margin stock lists,2667, 18495, 39556, 55555
225.2,(q) added; interim,56407
225.4,(f) amended,4344
225.125,(g) revised,45875
225,Appendix A amended,47372
,Appendix E added,47373
226,Adjustment notice,3177, 65317
226.2,(a)(6) revised,49245
226.4,(a), (c)(7)(ii), (iii), (d) heading, (1) heading, introductory text and (i) revised; (c)(7)(iv) redesignated as (v); (b)(10), (c)(7) heading, new (iv), (d)(3) and (e)(3) added,49245
226.17,(c)(2) redesignated as (c)(2)(i); (a)(1) Footnote 38, new (c)(2)(i) and (f) revised; (c)(2)(ii) added,49246
226.18,(d) Footnote 41 removed; (d)(1) and (2) added; (c) Footnotes 39 and 40 redesignated as (c) Footnotes 40 and 41; (n) revised,49246
226.19,(a)(2) revised,49246
226.22,(a)(4) and (5) added,49246
226.23,(b) introductory text and (1) through (5) redesignated as (b)(1) introductory text and (i) through (v); (b)(2), (g) and (h) added,49246
226.31,(d) and (g) revised,49247
226,Supplement I amended,14955, 14956, 14957, 14959, 49248
,Appendix H amended,49247
228.12,(h)(3) amended,21363
229,Appendixes A and B amended,25390
231.3,(a) introductory text revised,1274
245,Removed,52876
250,Authority citation revised,57289
250.161,(d) amended,19806
250.162,(a) amended,19806
250.242,Added,19806
