"X","Part.Number","Change","Page","FedReg_Number","Year"
58,"225.126","Added","9022",37,1972
59,"225.126","Revised","20329",37,1972
60,"225.126","(h) corrected","21938",37,1972
61,"225.127","Added","11316",37,1972
62,"225.127","Correction","13336",37,1972
63,"225.128","Added","18520",37,1972
64,"226.5","(a)(3) revised, eff. June 1, 1973","24337",37,1972
65,"226.5","(a)(3)(ii) corrected","25485",37,1972
66,"226.7","(a)(4), (b)(5) and (6), and (c) revised, eff. June 1, 1973","24338",37,1972
67,"226.12","(f) added","24105",37,1972
68,"226.13","(a)(4), (b), and (c) revised","24338",37,1972
69,"226.702","Removed, eff. June 1, 1973","24339",37,1972
70,"226.703","Revised","13246",37,1972
71,"226.704","Removed, eff. June 1, 1973","24339",37,1972
72,"226.706","Added","13247",37,1972
73,"226.707","Added","24339",37,1972
74,"250.104","Added","25486",37,1972
75,"265.2","(f)(22) revised; (f)(23) and (24) added","1034",37,1972
76,"265.2","(f) introductory text revised; (f)(25) added","23329",37,1972
77,"265.2","(f)(22) revised","23535",37,1972
78,"269.5","(f) added","21989",37,1972
79,"201.51","Revised","11",37,1972
80,"201.52","Revised","11",37,1972
81,"201.53","Revised","11",37,1972
82,"201.104","Revised","4701",37,1972
83,"201.108","(b)(18), (19), and (20) added","24105",37,1972
84,"204.2","(a)(2) and (3) revised","12713",37,1972
85,"204.2","(a)(2) and (3) eff. date postponed","19802",37,1972
