Part,Change,Page
225.41-225.44 (Subpart E),"Revised","9338"
225.51,"Removed","9341"
225.61-225.67 (Subpart G),"Heading revised","9341"
225.71-225.73 (Subpart H),"Revised","9341"
225.125,"(f) and (g) revised","9343"
225.145,"(a) amended","9343"
225.200,"Undesignated center heading and section added","45306"
225,"Appendix C revised","9343"
225,"Appendix E heading revised; amended; interim","68068"
226.19,"(b)(2)(viii) and (ix) revised; (b)(2)(x) removed; (b)(2)(xi), (xii) and (xiii) redesignated as (b)(2)(x), (xi) and (xii)","63443"
226,"Appendix H heading revised; amended","63444"
226,"Appendix H corrected","66179"
226,"Supplement I amended","10196-10199, 63445, 63446"
229.2,"(e) concluding text and (s) revised; (pp) redesignated as (qq); new (pp) added","13809"
229.13,"(g)(1) introductory text and (ii)(A) amended; (g)(1)(i)(B), (E) and (h)(4) revised; (g)(1)(ii)(A) designation and (B) removed; (g)(4) redesignated as (g)(5); new (g)(4) added","13809"
229.16,"(c)(2)(i)(B) revised","13810"
229.19,"(a)(1) revised; (a)(5)(ii) amended","13810"
229.30,"(c) revised","13810"
229.34,"Heading and (c)(4) revised; (f) added","13810"
229.36,"Heading and (e)(1)(ii) revised; (c) amended","13810"
229.39,"(b) revised","13810"
229.42,"Revised","13810"
229.43,"Added","13810"
229,"Appendix C amended","13811, 48752"
229,"Appendix E amended","13816, 13817, 13821"
229,"Appendix A amended","26221"
261,"Authority citation revised","54359"
261,"Authority citation corrected","62508"
261.1-261.3 (Subpart A),"Revised; interim","54359"
261.1,"(a)(1) corrected","62508"
261.10-261.17 (Subpart B),"Revised; interim","54361"
