Part,Change,Page
```
261.11,Redesignated as 261.20; interim,54359
261.12,Redesignated as 261.21; interim,54359
(b)(3), (c)(3) and (4) corrected,62508
261.13,Redesignated as 261.22; interim,54359
261.14,Redesignated as 261.23; interim,54359
261.15-261.17 (Subpart D),Removed; interim,54359
261.17 (f)(4),corrected,62508
261.20,Redesignated from 261.11; interim,54359
261.21,Redesignated from 261.12; interim,54359
261.22,Redesignated from 261.13; interim,54359
(b)(1) introductory text, (2) and (d),corrected,62508
261.23,Redesignated from 261.14; interim,54359
265.4 (a)(4),added,14792
265.5 (f),added,34617
265.6 (a)(5),removed,45150
265.7 (c)(6),added,64996
271,Revised,61218
```
