Part Number,Change,Page
271,Revised,9518
272.1,Revised,9520
272.3,Revised,9520
272.5,Repealed,9520
301.1,Revised,9638
303,Revised,10556
303.10,"Amended; (c), (d), and (e) added",9638
304,Revised,10558
305.1,Amended,9638
306.2,Amended,10561
307.1,Amended,10561
307.2,Amended,10561
307.3,Introductory text of (c) amended,9638
307.3,Amended,10561
308,Revised,11147
309,Revised,9638
325.0,Amended,10561
327.3,(c) amended,10561
328,Revised,10189
329.7,(e) revised,8579
330,Revised,10408
331.1,(d) revised,10561
334.4,Amended,9638
335.2,(ff) added,17470
335.5,(d)(1) and (3) revised; (k) added,17470
336,Appendix A added,13965
336.735-10,Added,13964
336.735-11,(a) revised; (c) redesignated as 336.735-10 and revised; (d) and (e) revised; (f) redesignated from 336.735-12(f)(1) and revised,13964
336.735-12,Heading revised; (f)(1) redesignated as 336.735-11(f) and revised,13964
336.735-13,(a)(1) revised,13964
336.735-19,"(d), (g), (h), (j), and (p) revised; (r) added",13964
336.735-31,Revised,13964
336.735-31a,Added,13964
336.735-32,Revised,13964
336.735-34,Revised,13964
336.735-38,Revised,13964
336.735-40,(a)(2) revised,13964
400.735-5,(a)(4) revised; (b)(2)(v) added,13758
400.735-6,(b)(5)(ii) revised,13758
400.735-17,"(e), (h), (i), (k), (m), and (q) revised; (r) added",13758
