Part,Change,Page
12,"(d), (jj), and (kk) amended; (h) revised; (mm) through (ss) added",45538
226.3,"(f) added",45538
226.6,"(b)(3) added; (c) and (i) amended; (d), (e), (f) and (g) footnote revised",45538
226.7,"(b)(1)(ii) transition date suspended in July-Aug. ’76",20395
226.7,"(b)(1)(ii) amended; (k) added",36664
226.7,"(b)(1)(iii) amended; (c)(1) revised",36665
226.8,"(a) amended; (r) removed",5098
226.8,"(c)(8)(i) revised; (d)(3) amended",28945
226.10,"(a) introductory text and (a)(1) and (2) redesignated as (a)(1), (a)(1)(i), and (a)(1)(ii); (a)(2), (g), and (h) added; (b) revised",45539
226.12,"(a) and (b) revised",45539
226.13,"(i)(4) footnote added",36665
226.14,"(e) corrected",5098
226.15,"Added",45540
226.102,"Removed",5098
226.606,"Added",6061
226.708,"Added",6061
226.820,"Removed",28945
227,"Added",44362
250,"Interpretation",9859
225.134,"Correctly designated as",12009
265.1,"Amended",53775
265.1a,"(c) added",14860
265.1a,"(a) introductory text and (6) revised",39736
265.1a,"(a)(1)(ii) revised; (a)(5), (7)(iii), and (8) amended",53775
265.1a,"(b)(2) added",5858
265.2,"(a)(9)(ii)(d) revised; (a)(12)(iv) amended; (f)(34) added",1738
265.2,"(a)(15) added",14860
265.2,"(c)(18) added",20395
265.2,"(c)(18) corrected",26854
265.2,"(a)(16) added; correctly designated","27026, 36198"
265.2,"(a)(17) added",28946
265.2,"(i) revised",38759
265.2,"(a), (b), (c), and (h) introductory; texts, (a)(14), (c)(14), and (d) revised",53775
