Part,Change,Page
206.51,"Amended; eff. 1-29-79",60559
206.54,"Added; eff. 1-29-79",60559
207,"OTC margin stock list","14304, 45822"
207,"OTC margin stock list corrected",46957
207.5,"(d)(2) and (e)(2) revised",20966
207.110,"Added",30038
208.8,"(e)(2) and (5) removed; (e)(3) and (4) redesignated as (e)(2) and (3); new (e)(3) revised; Appendix A added",18162
(e)(3),"and Appendix A revised",20784
211.7,"(c) amended",55239
213.7,"(a) and (b) amended",38688
215.2,"(c)(5)(iv) revised","8506, 30039"
215.5,"Footnote 3 correctly designated as footnote 4",31883
217.1,"(f)(1) revised",19644
217.4,"(d) temporarily suspended in part","15408, 41015"
(d)(3),"amended",58365
217.5,"(c)(2) and (3) revised",20002
217.7,"(b)(4) and (f) added; (d) and (e) revised",21436
(b)(4),"(d), (e), and (f) interpretation",24516
(b)(1),"introductory text revised",26425
217.154,"Added",58365
220,"OTC margin stock list","14304, 45822"
OTC,"margin stock list",46957
220.2,"(f) revised; (i) added",43446
220.4,"(f)(2)(ii) correctly revised",31002
(f),"correctly designated",33899
(i),"added",43446
220.8,"(h)(2) and (i)(2) revised",20966
(b),"revised",43446
221,"OTC margin stock list","14304, 45822"
221,"OTC margin stock list corrected",46957
221.4,"(d)(2) and (e)(2) revised",20966
221.115,"Revised",30039
224,"OTC margin stock list","14304, 45822"
224,"OTC margin stock list corrected",46957
225.4,"(b)(1) and (2) revised",60262
225.5,"(f) added",10332
225.139,"Added",6214
225.139,"(d) footnote 7 corrected",15147
