"Part","Change","Page","FedReg_Number","Year"
"201.51","Revised","9281",60,"1995"
"202","Supplement I Amended","29967, 29968, 29969",60,"1995"
"203.4","(e) added","22225",60,"1995"
"203","Appendix A amended","22225",60,"1995"
"203","Supplement I added","63396",60,"1995"
"204.9","(a) revised","57913",60,"1995"
"205.9","Regulation at 59 FR 61788 confirmed; (a)(4) revised","15033",60,"1995"
"207","OTC margin stock lists","5845, 20005, 38948, 55184",60,"1995"
"208","Authority citation revised","35288, 35682, 39229, 39493",60,"1995"
"208.8","(e)(4) added; eff. 1-2-96","35288",60,"1995"
"208.31","(f) revised; interim","39229",60,"1995"
"208.60 (Subpart D)","Added","35682",60,"1995"
"208.123","Added","17437",60,"1995"
"208","Appendix A amended","8180, 39493, 46176, 46178",60,"1995"
"208","Appendix D added","35678, 35682",60,"1995"
"208","Appendix A amended; interim","39229",60,"1995"
"208","Appendixes A and B amended; interim","39230",60,"1995"
"208","Appendixes A and B amended","45615",60,"1995"
"208","Appendix A amended; eff. 4-1-96","66044",60,"1995"
"211","Authority citation revised","67054",60,"1995"
"211.2","(u) and (v) redesignated as (v) and (w); new (u) and (x) added","67054",60,"1995"
"211.5","(c)(2) and (3) redesignated as (c)(3) and (4); new (c)(2) added; new (c)(3) amended","67054",60,"1995"
"215","Authority citation revised","31054",60,"1995"
"215.2","(i) introductory text amended; (i)(1) and (2) revised; (i)(3) removed","31054",60,"1995"
"215.5","(c)(2) introductory text revised","17636",60,"1995"
"219","Heading and revised","233",60,"1995"
"219","Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144",60,"1995"
"219.1—219.7","Designated as Subpart A; heading added","233",60,"1995"
"219","Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144",60,"1995"
"219.1","Revised","233",60,"1995"
"219","Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144",60,"1995"
"219.2","Introductory text revised","233",60,"1995"
"219","Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144",60,"1995"
"219.21—219.24 (Subpart B)","Added","233",60,"1995"
"219","Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144",60,"1995"
"220","OTC margin stock lists","5845",60,"1995"
"220","OTC margin stock lists","20005",60,"1995"
"220","OTC margin stock lists","38948",60,"1995"
"220","OTC margin stock lists","55184",60,"1995"
"221","OTC margin stock lists","5845",60,"1995"
"221","OTC margin stock lists","20005",60,"1995"
"221","OTC margin stock lists","38948",60,"1995"
"221","OTC margin stock lists","55184",60,"1995"
"224","OTC margin stock lists","5845",60,"1995"
"224","OTC margin stock lists","20005",60,"1995"
"224","OTC margin stock lists","38948",60,"1995"
"224","OTC margin stock lists","55184",60,"1995"
"225.7","(b)(4) added","20189",60,"1995"
"225.32","(a)(2) redesignated as (a)(3); new (a)(2) added","35121",60,"1995"
