Part.Number,Change,Page,FedReg_Number,Year
208.43,"(b) correctly removed; (a)(2)(iv)(C), (c), (1)(iv) and (d) correctly redesignated as (a)(4)(iii), new (b), (1)(iv) and (c); (a) and new (b) introductory text correctly revised; eff. in part 1-1-18",70672,80,2015
208.50--208.51 (Subpart E),Heading revised,32681,80,2015
208.50,Revised,32681,80,2015
208.102,Footnote 16 correctly redesignated as Footnote 7,70672,80,2015
208.111,Footnotes 17 and 18 correctly redesignated as Footnotes 8 and 9,70672,80,2015
213,Supplement I amended,73947,80,2015
217.1,(c)(1)(iii) amended; interim,5670,80,2015
217.1,(c)(1)(iii) revised,20157,80,2015
217.1,(f)(3) revised,49103,80,2015
217.1,(f)(4) amended; eff. 1-1-18,49103,80,2015
217.2,Amended,"41418, 49103",80,2015
217.2,Regulation at 79 FR 24540 withdrawn,49103,80,2015
217.2,Correctly amended,70672,80,2015
217.10,(c) introductory text revised,41419,80,2015
217.10,"Heading, (a)(4)(ii) and Table 1 revised; (c) added",49103,80,2015
217.10,"(a)(2)(v), (vi), (c) and Table 2 amended; (c) redesignated as (d); eff. 1-1-18",49103,80,2015
217.22,(b)(1)(iii) revised,41419,80,2015
217.100,(b)(1)(i)(B)(2) and (ii)(B) revised,41419,80,2015
217.122,"(c)(9) and (10) redesignated as (c)(10) and (11); (a)(3), (b)(1), (3), (5), (c)(1), (2), (5), (6), new (c)(10), (11) and (i)(5) revised; (b)(2)(iii) and new (c)(9) added",41419,80,2015
217.131,(d)(5)(ii) and (iii) revised; (e)(3)(vi) amended,41420,80,2015
217.132,"Table 1 amended; (c)(1), (2) and (d)(5)(iii)(B) revised; (d)(2)(iv)(C), (7)(iv)(B) and (d)(9)(ii) amended",41421,80,2015
217.133,"(b)(3)(i)(B), (4)(ii) and (c)(4)(ii) amended; (c)(3)(iii) added",41421,80,2015
217.136,(e)(2)(i) and (ii) amended,41421,80,2015
217.172,(d) revised,41421,80,2015
217.173,(a) introductory text redesignated as (a)(1) and revised; (a)(2) and (3) added; Table 6 and Table 9 amended,41421,80,2015
217.202,(b) correctly amended,70672,80,2015
217.300,(a)(2) revised,49103,80,2015
217.300,(c)(3) correctly revised,70672,80,2015
204.4,(f) revised; eff. 1-18-17,16-91673,81,2016
208.64,(b)(1) revised; interim,16-10069,81,2016
208.64,Regulation at 81 FR 10069 confirmed; eff. 1-17-17,16-90952,81,2016
209,Authority citation revised,16-9087,81,2016
209,Regulation at 81 FR 9087 confirmed,16-84419,81,2016
209.1,"Heading, (a) and (b) revised; (d) added; interim",16-9087,81,2016
209.1,Regulation at 81 FR 9087 confirmed,16-84419,81,2016
209.2,(a) revised; interim,16-9087,81,2016
209.2,Regulation at 81 FR 9087 confirmed,16-84419,81,2016
209.3,"Heading, (d) heading, (1) and (2)(i) revised; (d)(3) added; interim",16-9087,81,2016
209.3,Regulation at 81 FR 9087 confirmed,16-84419,81,2016
209.4,"(b) removed; (c), (d) and (e) redesignated as new (b), (c) and (d); heading and new (c) and (d) revised; new (e) and (f) added; interim",16-9088,81,2016
209.4,Regulation at 81 FR 9088 confirmed,16-84419,81,2016
211.26,(c)(2)(i)(A) revised; interim,16-10069,81,2016
211.26,Regulation at 81 FR 10069 confirmed; eff. 1-17-17,16-90952,81,2016
213,Supplement I amended,16-86259,81,2016
217.404,(b)(1) revised; eff. 1-17-17,16-90954,81,2016
217.405,(b)(1) revised; eff. 1-17-17,16-90954,81,2016
217,Appendix A added,16-63686,81,2016
225,Policy statement,16-75315,81,2016
226,Supplement I amended,"16-86254, 16-86263",81,2016
227,Removed,16-8134,81,2016
228,Policy statement,16-48506,81,2016
237.1,Regulation at 80 FR 74923 confirmed,16-50613,81,2016
249.3,Amended,16-21232,81,2016
249.20,(c)(2) redesignated as (c)(3); new (c)(2) added,16-21232,81,2016
249.21,"(f) through (i) redesignated as (g) through (j); (b)(4), (c)(3), new (f), (g)(4), (h)(3) and (k) added; (c)(2) and new (h)(2) amended",16-21232,81,2016
249.22,(c) redesignated as (d); new (c) added,16-21232,81,2016
249.60,(c)(2) revised; eff. 4-1-17,16-94929,81,2016
249.64,Added; eff. 4-1-17,16-94929,81,2016
249.90--249.91 (Subpart J),Added; eff. 4-1-17,16-94929,81,2016
261.10,(e) and (f) revised; interim,16-94933,81,2016
261.11,"Heading, (a) introductory text, (4), (b)(1) and (c) revised; interim",16-94933,81,2016
261.12,(b)(2) revised; interim,16-94933,81,2016
261.13,"(e)(3), (f)(4), (5), (i) introductory text, (1) and (3) revised; interim",16-94933,81,2016
261.14,(a) introductory text revised; interim,16-94934,81,2016
261.17,(i) added; interim,16-94934,81,2016
263,Authority citation revised,16-47007,81,2016
263.65,Revised; interim,16-47007,81,2016
271.3,(c) revised; interim,16-94936,81,2016
271.4,"Heading, (a) and (b) revised; (c) removed; interim",16-94936,81,2016
271.5,(b)(2) revised; interim,16-94936,81,2016
271.6,"(c)(2), (d)(3), (e)(4), (5)(g)(1), (h) introductory text and (1) revised; interim",16-94936,81,2016
271.7,(a) revised; interim,16-94937,81,2016
271.9,(i) added; interim,16-94937,81,2016
201.51,(a) and (b) revised,"7636, 18216, 28756, 60282",82,2017
203,Removed; eff. 1-22-18,60674,82,2017
204.4,(f) revised,51755,82,2017
204.10,(b)(5) revised,"7637, 18217, 28758, 60283",82,2017
209,Nomenclature change,11502,82,2017
209,Amended,52174,82,2017
213,Supplement I amended,51977,82,2017
217.2,(1)(iii) and (3)(ii)(A) revised; section amended,42918,82,2017
217.300,"(b)(4), (d)(1) and table 10 revised;(b)(5) added",55316,82,2017
225,Policy statement,49089,82,2017
225.8,Revised,9323,82,2017
226,Supplement I amended,"51975, 51979",82,2017
228,Authority citation revised,61145,82,2017
228.12,(u)(1) revised,5356,82,2017
228.12,"(g)(3), (4)(iii)(B), (h)(2)(i) and (l) amended;(g)(5) and (j)(3) removed; (j)(4) and (5) redesignated as new (j)(3) and (4)",55743,82,2017
228.12,(u)(1) revised,61145,82,2017
228.22,(a)(1) amended,55743,82,2017
228.42,(c)(1) introductory text amended,55743,82,2017
228.43,(b)(2) revised,55743,82,2017
229.1,(b)(3) revised; (5) through (10) added; eff. 7-1-18,27578,82,2017
229.2,"(dd), (uu), (vv) and (bbb) revised; (ggg) and (hhh) added; eff. 7-1-2018",27578,82,2017
229.30,Revised; eff. 7-1-18,27579,82,2017
229.31,Revised; eff. 7-1-18,27579,82,2017
229.32,Revised; eff. 7-1-18,27580,82,2017
229.33,Revised; eff. 7-1-18,27580,82,2017
229.34,Revised; eff. 7-1-18,27581,82,2017
229.35,(a) and (d) revised; eff. 7-1-18,27582,82,2017
229.36,Revised; eff. 7-1-18,27583,82,2017
229.38,"(b), (c) and (d) revised; eff. 7-1-18",27583,82,2017
229.39,Revised; eff. 7-1-18,27583,82,2017
229.40,Revised; eff. 7-1-18,27584,82,2017
229.42,Revised; eff. 7-1-18,27584,82,2017
229.43,(a)(2) and (b) revised; eff. 7-1-18,27584,82,2017
229.51,(b)(2) and (3) revised; eff. 7-1-18,27584,82,2017
229.52,(a) revised; eff. 7-1-18,27584,82,2017
229.53,(a) revised; eff. 7-1-18,27585,82,2017
229,Appendix D removed; eff. 7-1-18,27585,82,2017
229,Appendix E amended; eff. 7-1-18,27585,82,2017
249.3,Amended,42919,82,2017
252,Authority citation revised,8306,82,2017
252.2,"(t) through (z) redesignated as (bb) through (hh); (n) through (s) redesignated as new (u)through (z); (i) through (m) redesignated as (j) through (n); new (i), new (o) through (t) and (aa) added",8306,82,2017
252.42,(p) revised,9329,82,2017
252.43,(b) revised; (c) removed,9329,82,2017
252.44,(b) revised,9329,82,2017
252.46,(b)(1) revised,9329,82,2017
252.52,(k) and (r) revised,9329,82,2017
252.53,(b) revised,9329,82,2017
252.54,"(a), (b)(1), (2)(i), (4)(i) and (iii) revised",9330,82,2017
252.55,"(a), (b)(4)(i) and (iii) revised",9330,82,2017
252.57,(a) revised,9330,82,2017
252.58,(a)(1)(ii) revised,9330,82,2017
252.60--252.65 (Subpart G),Added,8306,82,2017
252.81--252.88 (Subpart I),Added,42920,82,2017
252.153,"(b)(4), (5) and (6) added",8310,82,2017
252.160--252.167 (Subpart P),Added,8311,82,2017
261.13,(i)(4) revised,49287,82,2017
263.65,Revised,8361,82,2017
265,Policy statement,55496,82,2017
265.4,(c) added,55495,82,2017
271.6,(h)(3) revised,45680,82,2017
201.3,(e) removed,21168,83,2018
201.51,(a) and (b) revised,"13104, 28527, 49473",83,2018
201.51,(d)(1) introductory text revised,21168,83,2018
204.4,(f) revised,54518,83,2018
204.10,(b)(5) revised,"13105, 28528, 49475",83,2018
208.64,(b)(1) revised; interim,43965,83,2018
208.64,Regulation at 83 FR 43965 confirmed,67035,83,2018
209,Nomenclature change,58467,83,2018
210,Nomenclature change,61517,83,2018
210.2,"(h), (i), (m), (n), (q), and (s)(1) revised",61517,83,2018
210.3,(a) revised,61518,83,2018
210.4,"(a), (b)(1)(ii), (iii), and (3) revised",61518,83,2018
210.5,"(a), (c), (d), and (e) revised",61518,83,2018
210.6,"(a)(2)(ii) amended; (a)(2)(iii), (b), and (c) revised; (a)(2)(iv) added; (d) removed",61519,83,2018
210.7,(a)(1) and (b)(2) revised,61520,83,2018
210.9,"(b)(2)(i), (3)(i)(A), (B), (4), (5), (6), (c), (d), and (e) revised; (f) removed",61520,83,2018
210.10,(a) revised,61520,83,2018
210.11,(b) revised; (c) removed,61521,83,2018
210.12,(a) and (c) through (g) revised,61521,83,2018
210.25,(a) and (b)(3) amended; (b)(2) introductory text revised; (e) added,61522,83,2018
210.26,(e) revised,61522,83,2018
210.29,(b) amended,61522,83,2018
210.25--210.32 (Subpart B),Appendix A amended,61522,83,2018
211.2,(z) revised; eff. 2-1-19,58734,83,2018
211.9,(a)(2) revised; eff. 2-1-19,58734,83,2018
211.26,(c)(2)(i)(A) revised; interim,43965,83,2018
211.26,Regulation at 83 FR 43965 confirmed,67035,83,2018
213,Supplement I amended,59276,83,2018
217.1,(c)(1)(iii) revised; interim,44198,83,2018
217.11,(a)(4)(ii) revised,705,83,2018
217.11,"Table 1, (a)(4)(iv), and (v) added",17477,83,2018
217.300,(c)(1)(i) through (iv) added,705,83,2018
225.2,(r) Footnote 2 revised; interim,44198,83,2018
225.4,(b)(2)(iii) revised; interim,44198,83,2018
225.14,(a)(1)(v) revised; interim,44199,83,2018
225.17,(a)(6) Footnote 6 revised; interim,44199,83,2018
225.23,(a)(1)(iii) revised; interim,44199,83,2018
225.62,(e) through (m) redesignated as (f) through (n); new (e) added,15035,83,2018
225.63,"(a)(12) amended; (a)(13), (b), and (d)(2) revised; (a)(14) added",15035,83,2018
225 Appendix C,amended; interim,44199,83,2018
226.43,(b)(2) amended; CFR correction,40659,83,2018
226,Supplement I amended,"59274, 59278",83,2018
228,Technical correction,15298,83,2018
228.12,(u)(1) revised,66603,83,2018
229.38,(i) added,46853,83,2018
229,Appendix E amended,46853,83,2018
237.1,(e)(7) added,50811,83,2018
237.2,Amended,50812,83,2018
238.54,(a)(1) revised; eff. 2-1-19,58734,83,2018
249.3,Amended; interim,44455,83,2018
249.20,(c)(2) removed; (c)(3) redesignated as new (c)(2); (c)(1)(iii) and new (2)(vi) amended; new (c)(3) added; interim,44455,83,2018
249.21,"(c)(2) and (h)(2) amended; (b)(4), (c)(3), (f), (g)(4), (h)(3), and (k) removed; (g) through (j) redesignated as (f) through (i); interim",44455,83,2018
249.22,(c) removed; (d) redesignated as new (c); interim,44455,83,2018
252.70--252.78 (Subpart H),Added,38493,83,2018
252.76,"(d)(i), (ii), (A), (B), and (C) redesignated as (d)(1), (2), (i), (ii), and (iii)",64023,83,2018
252.170--252.178 (Subpart Q),Added,38501,83,2018
252.174,(i)(3)(1) through (4) redesignated as (i)(3)(i) through (iv),64023,83,2018
263.65,Revised,1183,83,2018
265.4,"(a)(1) removed; (a)(2), (3), and (4) redesignated as (a)(1), (2), and (3)",9419,83,2018
265.5,Introductory text revised; (b)(2) and (3) redesignated as (b)(3) and (4); new (b)(2) added,9419,83,2018
201,Authority citation revised,512,84,2019
201.51,(a) and (b) revised,"512, 39724, 52753, 59924",84,2019
204.4,(f) revised,64706,84,2019
204.10,(b)(5) revised,"513, 20542, 39725, 52754, 59926",84,2019
206.2,(g) revised,61796,84,2019
206.5,(a)(4) added,61796,84,2019
208,Authority citation revised,"29051, 61796",84,2019
208.2,(d) revised,4240,84,2019
208.2,Regulation at 84 FR 4240 eff. date delayed to 7-1-19,11879,84,2019
208.2,(d)(3) added,61796,84,2019
208.25,"(b)(7) through (11) revised; (b)(12), (13), (14), and (c)(3) added",4970,84,2019
208.43,(a) and (b) revised,61796,84,2019
208.43,"Correction: (a), (b) introductory text, and (1) revised",70887,84,2019
208.101-208.105 (Subpart I),Removed,21692,84,2019
208.120-208.124 (Subpart K),Added,29051,84,2019
209,Nomenclature change; eff. 1-15-2020,68326,84,2019
211,Nomenclature change,61797,84,2019
211.2,(c)(1) revised,4241,84,2019
211.2,Regulation at 84 FR 4241 eff. date delayed to 7-1-19,11879,84,2019
211.2,"(b), (c), and (x) revised",61797,84,2019
211.9,(a) footnote 5 redesignated as (a) footnote 1,61797,84,2019
211.24,(k) removed,21692,84,2019
211.43,(c)(4) revised,4241,84,2019
211.43,Regulation at 84 FR 4241 eff. date delayed to 7-1-19,11879,84,2019
212.3,(c) amended,54471,84,2019
213,Supplement I amended,58018,84,2019
215.2,(i) revised,4241,84,2019
215.2,(i)(3) added,61797,84,2019
215.2,Regulation at 84 FR 4241 eff. date delayed to 7-1-19,11879,84,2019
217,Authority citation revised,61797,84,2019
217.1,(f)(5) added,59269,84,2019
217.2,Amended,"4241, 35259, 59270",84,2019
217.2,Regulation at 84 FR 4241 eff. date delayed to 7-1-19,11879,84,2019
217.2,Amended; eff. 4-1-20,68032,84,2019
217.10,(c)(3)(ii)(A) amended,4242,84,2019
217.10,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879,84,2019
217.10,(c)(4)(ii)(H) revised,35259,84,2019
217.10,"(a)(5), (c) introductory text, and (4)(i) introductory text revised",59271,84,2019
217.10,(a) revised,61797,84,2019
217.11,"(a)(2)(i), (iv), (3)(i), and Table 1 revised",35259,84,2019
217.11,(b)(1) introductory text and (ii) revised,59271,84,2019
217.12,Added,61797,84,2019
217.20,(d)(3) amended,4242,84,2019
217.20,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879,84,2019
217.20,"(b)(1)(iii), (4), (c)(2), (d)(2), and (5) revised; (f) added",35260,84,2019
217.21,Revised; eff. 4-1-20,35260,84,2019
217.21,Regulation at 84 FR 35260 eff. date revised as 1-1-20,61804,84,2019
217.22,(c) footnote 23 amended,4242,84,2019
217.22,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879,84,2019
217.22,"(a)(1)(i), (c), (d), (g), and (h) revised; eff. 4-1-20",35261,84,2019
217.22,(b)(2)(ii) revised,59271,84,2019
217.22,(f) revised,61798,84,2019
217.22,Regulation at 84 FR 35261 eff. date revised as 1-1-20,61804,84,2019
217.32,"(b), (d)(2), (3)(ii), (k), and (l) revised",35264,84,2019
217.34,(c) revised,35265,84,2019
217.35,"(b)(3)(ii), (4)(ii), (c)(3)(ii), and (4)(ii) revised",35266,84,2019
217.36,(c) revised,35266,84,2019
217.37,(b)(2)(i) revised,35266,84,2019
217.38,(e)(2) revised,35266,84,2019
217.42,(j)(2)(ii)(A) revised,35266,84,2019
217.52,(b)(1) and (4) revised,35266,84,2019
217.61,Revised,35267,84,2019
217.63,Table 5 amended,4242,84,2019
217.63,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879,84,2019
217.63,Table 3 and Table 8 revised,35267,84,2019
217.63,(d) and (e) added,59271,84,2019
217.100,(b)(1) revised,59271,84,2019
217.100,(b)(2) removed; (b)(3) redesignated as new (b)(2),59271,84,2019
217.124,(a) and (b)(2) amended,4242,84,2019
217.124,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879,84,2019
217.131,(d)(2) revised,35268,84,2019
217.133,(b)(3)(ii) and (c)(3)(ii) revised,35269,84,2019
217.152,(b)(5) and (6) revised,35269,84,2019
217.172,(d)(2) revised,59271,84,2019
217.173,"Table 2, Table 3, and Table 5 amended",4242,84,2019
217.173,Regulation at 84 FR 4242 eff. date delayed to 7-1-19,11879,84,2019
217.173,Heading and (a)(2) revised,59272,84,2019
217.202,(b) amended,35269,84,2019
217.210,(b)(2)(ii) and (vii)(A) revised,35269,84,2019
217.300,(c)(2) and (3) revised; (b) and (d) removed; eff. in part 4-1-20,35269,84,2019
217.300,(g) added,61807,84,2019
217.300,Regulation at 84 FR 35269 eff. date revised as 1-1-20,61804,84,2019
217.301,Added,4243,84,2019
217.301,Regulation at 84 FR 4243 eff. date delayed to 7-1-19,11879,84,2019
217.400,"(b)(1), (2) introductory text, and (i) revised; (b)(3) removed",59075,84,2019
223.3,(d) revised,4244,84,2019
223.3,Regulation at 84 FR 4244 eff. date delayed to 7-1-19,11879,84,2019
223.3,(d)(4) added,61798,84,2019
225.2,(h) revised; (r)(1) footnote 2 redesignated as (r)(1) footnote 1; (r)(4) added,61799,84,2019
225.8,(f)(2)(ii)(B) revised,8958,84,2019
225.8,"(b)(1)(i), (2), (3), and (c) revised",59075,84,2019
225.14,"(a)(1)(ii) footnote 3 redesignated as (a)(1)(ii) footnote 1; (a)(1)(v)(A), (vii), (c)(6)(i)(A), and (B) revised; (c)(6)(iii) and (f) added",61799,84,2019
225.14,"Correction: (a)(1)(ii) footnote 3 redesignated as (a)(1)(ii) footnote 1; (a)(1)(v), (vii), (c)(6)(i)(A), and (B) revised; (c)(6)(iii) and (f) added",70887,84,2019
225.22,(d)(8)(vi) added,61800,84,2019
225.23,(a)(1) footnote 2 redesignated as (a)(1) footnote 1; (a)(1)(iii) and (c)(5)(i) revised; (c)(5)(iii) and (e) added,61800,84,2019
225.24,(a)(2)(iv)(B) and (vi) revised,61801,84,2019
225.62,(f) revised; (k) through (n) redesignated as (l) through (o); new (k) added,53597,84,2019
225.63,(a)(1) and (d)(3) revised; (a)(13) and (14) amended; (a)(15) added,53597,84,2019
225.63,(b) revised,53598,84,2019
225.64,"Introductory text revised; (c), (d), and (e) redesignated as (d), (e), and (f); new (c) added",53598,84,2019
225.87,(b)(4)(iv) added,61801,84,2019
225.127,"(a), (d), and section amended; (h) revised",4244,84,2019
225.127,Regulation at 84 FR 4244 eff. date delayed to 7-1-19,11879,84,2019
225.174,(d) added,61801,84,2019
225.175,(c)(3) added,61801,84,2019
226,Supplement I amended,"58015, 58022",84,2019
228.12,(u)(1) revised,71740,84,2019
229.1,(a) revised; eff. 7-1-20,31695,84,2019
229.2,"(c), (ff), and (jj) revised",31696,84,2019
229.10,(c)(1)(vii)(A) amended; eff. 7-1-20,31696,84,2019
229.11,Added; eff. 7-1-20,31696,84,2019
229.12,(d) amended; eff. 7-1-20,"31696, 45403",84,2019
229.12,(e) introductory text and (1) revised,31696,84,2019
229.13,"(a)(1)(ii), (b), and (d)(2) amended; eff. 7-1-20",45403,84,2019
229.21,(a)(2)(i) amended; eff. 7-1-20,31697,84,2019
229.21,Amended; eff. 7-1-20,45403,84,2019
229.43,Removed,31697,84,2019
229,Appendix E amended; eff. 7-1-20,31697,84,2019
237.1,(h) added; interim,9948,84,2019
238,Authority citation revised,"54472, 59076",84,2019
238.2,(v) through (ss) added,59076,84,2019
238.10,Added,59077,84,2019
238.53,(c)(2)(iii)(B) and (v) revised,61801,84,2019
238.54,Amended,4309,84,2019
238.93,(c) amended,54472,84,2019
238.118-238.119 (Subpart M),Added,59077,84,2019
238.120-238.123 (Subpart N),Added,59078,84,2019
238.130-238.135 (Subpart O),Added,59083,84,2019
238.140-238.146 (Subpart P),Added,59085,84,2019
238.150-238.158 (Subpart Q),Added,59087,84,2019
238.160-238.162 (Subpart R),Added,59095,84,2019
242.1,(b)(2)(ii)(B) revised,59096,84,2019
242.4,Revised,59096,84,2019
243,Heading revised,59227,84,2019
243.1,(a) amended,59227,84,2019
243.13,Added,59227,84,2019
248,Heading revised,35020,84,2019
248.1,(c) revised,35020,84,2019
248.2,(r) revised,35020,84,2019
248.2,Revised,62129,84,2019
248.3,"(e)(5) through (13) redesignated as (e)(6) through (14); (d)(10) through (13) and new (e)(5) added; (b), (d)(3), (8), (9), new (e)(11), new (12), and new (14) revised",62131,84,2019
248.4,Revised,62132,84,2019
248.5,(b) and (c)(1) introductory text revised; (c)(4) added,62134,84,2019
248.6,(e)(3) revised; (e)(4) and (6) removed; (e)(5) redesignated as new (e)(4),62135,84,2019
248.10,(d)(9)(iii) revised,35020,84,2019
248.10,(c)(7)(ii) and (8)(i)(A) revised,62136,84,2019
248.11,(a)(6) revised,35020,84,2019
248.11,(c) revised,62136,84,2019
248.11,Regulation at 84 FR 35020 corrected,38115,84,2019
248.12,Second (e)(2)(vi) redesignated as (e)(2)(vii),62136,84,2019
248.13,"(a), (b)(3), (4), and (c) revised",62136,84,2019
248.14,(a)(2)(ii)(B) revised,62137,84,2019
248.20,"(a), (b) introductory text, (c), (d), (e) introductory text, and (f)(2) revised; (g), (h), and (i) added",62137,84,2019
248,Appendix A revised,62138,84,2019
248,Appendix B removed,62140,84,2019
248,Appendix Z added (temporary),62140,84,2019
249,Authority citation revised,59272,84,2019
249.1,Revised,59272,84,2019
249.3,Regulation at 83 FR 44455 confirmed,25978,84,2019
249.3,Amended,59272,84,2019
249.10,(a) revised; (b) redesignated as (c); new (b) added,59275,84,2019
249.20,Regulation at 83 FR 44455 confirmed,25978,84,2019
249.21,Regulation at 83 FR 44455 confirmed,25978,84,2019
249.22,Regulation at 83 FR 44455 confirmed,25978,84,2019
249.30,(a) revised; (c) and (d) added,59275,84,2019
249.50,Revised,59275,84,2019
249.60--249.64 (Subpart G),Removed,59276,84,2019
249.90,(a) and (b) revised,59276,84,2019
249.91,(a) Table 1 and (b)(1)(i)(B) amended; (b)(1)(ii) removed; (b)(1)(iii) redesignated as new (b)(1)(ii); (c)(32) and (33) revised; (c)(34) and (35) added,59276,84,2019
251.3,(c)(2) revised; (c)(3) added,61802,84,2019
252,Authority citation revised,59096,84,2019
252.1,Revised,59096,84,2019
252.2,Revised,59096,84,2019
252.3,(c) added,59098,84,2019
252.5,Added,59099,84,2019
252.10--252.17 (Subpart B),Heading revised,59099,84,2019
252.11,Revised,59100,84,2019
252.12,(m) revised,4245,84,2019
252.12,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879,84,2019
252.12,Revised,59100,84,2019
252.13,Revised,59100,84,2019
252.14,Revised,59100,84,2019
252.15,(a)(1) and (2) revised,4245,84,2019
252.15,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879,84,2019
252.15,(a) introductory text and (b) revised; (c) removed,59101,84,2019
252.16,(b)(3) revised,4245,84,2019
252.16,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879,84,2019
252.16,(a) and (b) revised,59101,84,2019
252.17,"(b)(1)(iii)(C), (3)(iii)(C), and (c)(1) revised",4245,84,2019
252.17,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879,84,2019
252.17,(a) and (b) revised,59102,84,2019
252.20--252.22 (Subpart C),Heading revised,59102,84,2019
252.21,Revised,59102,84,2019
252.22,Revised,59102,84,2019
252.30--252.35 (Subpart D),Heading revised,59103,84,2019
252.30,Revised,59103,84,2019
252.31,Revised,59103,84,2019
252.32,Revised,59103,84,2019
252.33,(a)(1) and (b)(1) revised,59103,84,2019
252.34,"(a)(1) introductory text, (c)(1)(i), (d), (e)(1), (f)(1), (2)(i), (g), and (h) revised",59103,84,2019
252.35,"(a)(1) introductory text, (2), (7)(i), (ii), (b)(1), and (3) revised; (a)(8) added",59105,84,2019
252.40--252.47 (Subpart E),Heading revised,59105,84,2019
252.41,Revised,59105,84,2019
252.42,(l) revised,4245,84,2019
252.42,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879,84,2019
252.42,Revised,59106,84,2019
252.43,(a) revised,59106,84,2019
252.44,"Heading, (a)(1), and (b) revised; (c) added",59106,84,2019
252.45,(b)(2) revised,4245,84,2019
252.45,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879,84,2019
252.50--252.58 (Subpart F),Heading revised,59107,84,2019
252.51,Revised,59107,84,2019
252.52,(m) revised,4246,84,2019
252.52,Regulation at 84 FR 4246 eff. date delayed to 7-1-19,11879,84,2019
252.52,Revised,59107,84,2019
252.53,Revised,59107,84,2019
252.54,"Heading, (a), (b)(2)(i), (4)(ii), and (iii) revised",59108,84,2019
252.55,Removed,59108,84,2019
252.56,(a)(1) and (2) revised,4246,84,2019
252.56,Regulation at 84 FR 4246 eff. date delayed to 7-1-19,11879,84,2019
252.56,"(a) introductory text, (b) introductory text, (c)(1), and (2) revised",59109,84,2019
252.57,(a) revised,59109,84,2019
252.58,"(b)(2), (3)(ii), and (c)(1)(ii) revised",4246,84,2019
252.58,Regulation at 84 FR 4246 eff. date delayed to 7-1-19,11879,84,2019
252.58,(a)(1) revised,59109,84,2019
252.70,(a) and (d)(1) revised,59109,84,2019
252.120--252.122 (Subpart L),Removed,59109,84,2019
252.130--252.132 (Subpart M),Heading revised,59109,84,2019
252.131,Revised,59109,84,2019
252.132,"Heading, (a) introductory text, and (d) revised",59109,84,2019
252.140--252.147 (Subpart N),Heading revised,59109,84,2019
252.140,Revised,59110,84,2019
252.142,Revised,59110,84,2019
252.143,"Heading, (a)(1) introductory text, (b), and (c) revised",59110,84,2019
252.144,Revised,59110,84,2019
252.145,Heading and (a) revised,59111,84,2019
252.146,"Heading, (b)(1) introductory text, (2)(i), (c)(1)(ii), and (iii) revised",59112,84,2019
252.147,Added,59112,84,2019
252.150--252.158 (Subpart O),Heading revised,59114,84,2019
252.150,Revised,59114,84,2019
252.152,Revised,59114,84,2019
252.153,"Heading, (a)(1), (3), (c), (d), and (e) revised; (a)(2) heading added",59114,84,2019
252.154,"Heading, (a)(1), (b), and (c) revised",59116,84,2019
252.155,"Heading, (a)(1), (3), and (b)(1) revised",59116,84,2019
252.156,"Heading, (a)(1) introductory text, (b)(1), (2), (3)(i), (4), (5), (6), (c)(1), (2)(ii), (d)(1), (e)(1), (2)(i)(A), (C), (ii)(A), (f), and (g) revised",59116,84,2019
252.157,"Heading, (a)(1)(i) through (iv), (2), (7)(i), (ii), (iii), (b), (c)(1), and (7)(i) through (iv) revised; (a)(8) and (c)(7)(v) added",59118,84,2019
252.158,"Heading, (b)(1) introductory text, (2)(i), (c)(1) introductory text, and (2) introductory text revised",59119,84,2019
252.170,Revised,59119,84,2019
252.171,(f)(1) revised; (aa) removed; (bb) through (ll) redesignated as new (aa) through (kk),59120,84,2019
252.172,"(a), (b), (c) introductory text, and (2) revised; (c)(1) removed",59120,84,2019
252.173,(b)(1) and (2) revised; (b)(3) added,59120,84,2019
252.175,(a)(1) revised,59121,84,2019
252.176,(a)(1) and (2)(i) revised,59121,84,2019
252.178,"(a)(1), (2), and (c)(2) revised",59121,84,2019
252,Appendix A revised,"6655, 59121",84,2019
252,Appendix B added,6668,84,2019
263.65,Revised,2052,84,2019
265,Amended,31705,84,2019
265.5,(d)(1) and (3) removed,31705,84,2019
265.7,"Heading, (d)(1), and (3) revised; (d)(4), (5), (7), and (9) through (13) removed; (e)(7) added",31705,84,2019
265.11,"(a)(10), (c) heading, (11)(v), (d)(1) through (8), (10), (11), (12), and (e)(12) revised; (a)(17), (c)(12), (d)(13), (14), and (15) added",31705,84,2019
267,Added,15503,84,2019
268.1,(b) revised,27028,84,2019
268.101,Revised,27029,84,2019
268.102,"(a)(4), (b)(3), and (4) revised; (b)(1), (5), and (6) amended",27029,84,2019
268.103,(a) revised,27029,84,2019
268.104,(a) introductory text and (d) revised,27029,84,2019
