Part,Change,Page
```
226,Temporary exceptions,53545
226.5b,(f)(2)(ii) and (iii) revised; (f)(2)(iv) added,34681
226,Supplement I corrected,81, 749
,Appendix I amended,20400
227.11,(c)(1), (2) and (3) revised; (d) added,20401
229,Authority citation revised,36598, 36600
229.1,(a) revised,36598
229.1,(b)(3) revised; eff. 1-3-94,46972
229.2,(mm) redesignated as (pp); new (mm), (nn) and (oo) added; eff. 1-3-94,46972
229.3,(a)(1) revised; (a) concluding text added,36600
229.12,(a) revised; (f) amended; (f)(1)(ii) and (2) removed,36601
229.13,(g)(1)(ii) through (v) removed; (g)(2) heading, (i), (ii) and (3) redesignated as (g)(1)(ii) heading, (A), (B) and (4); (b), (c) introductory text, (d) introductory text, (e)(1), (f) introductory text, new (g)(1)(ii)(A), (B), (h)(1), (3) and (4) amended; (g)(1) introductory text, (i) and (h)(2) revised; new (g)(2) and (3) added,3279
229.13,(b), (c) introductory text, (d) introductory text, (e)(1), (f) introductory text, (h)(1), (2) and (4) amended; (g)(2)(ii) and (3)(iii) revised,36598
229.30,(c) introductory text revised; eff. 1-3-94,46972
229.34,(c) and (d) redesignated as (d) and (e); heading, new (d) and (e) revised; new (c) added; eff. 1-3-94,46972
229.36,(f) added; eff. 1-3-94,46972
229.39,(d) redesignated as (e); new (d) added; eff. 1-3-94,46973
229,Appendixes C and E amended; interim,3280
,Appendix E amended,36598, 36601
,Appendix E amended; eff. 1-3-94,46973, 46975
,Appendix E corrected; eff. 1-3-94,52719
230.,Added,43376
230.6,(a)(3) corrected,46480
230,Appendixes A and B corrected,46480
250,Authority citation revised,41644
250.166,Added,40598
```
