Part,Change,Page
202,"Supplement I Amended","29967, 29968, 29969"
203.4,"(e) added","22225"
203,"Appendix A amended","22225"
203,"Supplement I added","63396"
204.9,"(a) revised","57913"
205.9,"Regulation at 59 FR 61788 confirmed; (a)(4) revised","15033"
207,"OTC margin stock lists","5845, 20005, 38948, 55184"
208,"Authority citation revised","35288, 35682, 39229, 39493"
208.8,"(e)(4) added; eff. 1-2-96","35288"
208.31,"(f) revised; interim","39229"
208.60 (Subpart D),"Added","35682"
208.123,"Added","17437"
208,"Appendix A amended","8180, 39493, 46176, 46178"
208,"Appendix D added","35678, 35682"
208,"Appendix A amended; interim","39229"
208,"Appendixes A and B amended; interim","39230"
208,"Appendixes A and B amended","45615"
208,"Appendix A amended; eff. 4-1-96","66044"
211,"Authority citation revised","67054"
211.2,"(u) and (v) redesignated as (v) and (w); new (u) and (x) added","67054"
211.5,"(c)(2) and (3) redesignated as (c)(3) and (4); new (c)(2) added; new (c)(3) amended","67054"
215,"Authority citation revised","31054"
215.2,"(i) introductory text amended; (i)(1) and (2) revised; (i)(3) removed","31054"
215.5,"(c)(2) introductory text revised","17636"
219,"Heading and revised","233"
219,"Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144"
219.1—219.7,"Designated as Subpart A; heading added","233"
219,"Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144"
219.1,"Revised","233"
219,"Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144"
219.2,"Introductory text revised","233"
219,"Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144"
219.21—219.24 (Subpart B),"Added","233"
219,"Regulation at 60 FR 233 eff. date delayed to 4-1-96","44144"
