Part,Change,Page
201.51,"Revised","45116, 57385, 51191, 60717"
201.52,"Revised","45116, 57385, 51191, 60717"
201.53,"Revised","45116, 51191, 57385, 60717"
202,"Staff interpretations","37600, 44830"
202.2,"(l) revised",23814
202.1104,"Added",57070
204.5,"(d) and (e) added",10499
204.6,"(a) introductory text amended; (b) revised; (f) added",60074
205,"Added",18480
205.2,"(i) amended; (j) and (k) redesignated as (k) and (l); new (j) added; new (l)(3) revised; eff. 5-10-80",59470
205.3,"Introductory text, (c) and (d) revised",59470
205.4,"Redesignated as 205.5; new 205.4 added; eff. 5-10-80",59470
205.5,"(a) revised",33839
205.5,"(c) amended",46434
205.5,"Redesignated as 205.6; new 205.5 redesignated from 205.4; new (b)(2) revised and (d) removed; eff. in part 5-10-80",59470
205.6,"Redesignated from 205.5; new (a)(3)(i) and (b) revised",59470
205.7,"Added; eff. 5-10-80",59470
205.8,"Added; eff. 5-10-80",59471
205.10,"Added; eff. 5-10-80",59471
205.12,"Added; eff. 5-10-80",59471
