"","Part.Number","Change","Page","FedReg_Number","Year"
"1",201.104,"Added",11949,30,"1965"
"2",204.56,"Added",6339,30,"1965"
"3",204.57,"Added",14489,30,"1965"
"4",206,"Added",362,30,"1965"
"5",206.45,"Added",15089,30,"1965"
"6",206.101,"Added",6731,30,"1965"
"7",206.102,"Added",15089,30,"1965"
"8",206.103,"Added",15286,30,"1965"
"9",208.116,"Added",3525,30,"1965"
"10",208.117,"Added",14552,30,"1965"
"11",213.4,"(g) added",2854,30,"1965"
"12",215.106,"Added",14552,30,"1965"
"13",217.3,"(a) revised",9978,30,"1965"
"14",217.6,"Revised",15286,30,"1965"
"15",217.14,"Added",5574,30,"1965"
"16",218.2,"Revised",14639,30,"1965"
"17",218.11,"Added",7743,30,"1965"
"18",218.111,"Added",12836,30,"1965"
"19",220.4,"(c)(3) revised",5826,30,"1965"
"20",221.115,"Added",3812,30,"1965"
"21",222.119,"Added",14273,30,"1965"
"22",224.2,"Revised",15735,30,"1965"
"23",224.3,"Revised",15735,30,"1965"
"24",224.4,"Revised",15735,30,"1965"
"25",261.2,"(d)(2)(v) amended",12248,30,"1965"
"26",262.2,"(f)(7) revised",12248,30,"1965"
