Part,Change,Page
225.24,"Revised; interim","54805"
225.62,"(d), (e), (f) and (g) through (k) redesignated as (e), (f), (g) and (i) through (m); new (d) and new (h) added","29500"
225.63,"Heading and (a) revised; (b) and (c) redesignated (d) and (e); new (b) and new (c) added","29500"
225.64,"Revised","29501"
225.65,"(b) revised","29501"
225.61—225.67 (Subpart G),"Appendix A removed","29501"
225.127,"(a) through (d) amended; (f), (g) and (h) added; eff. 1-9-95","63713"
225,"Appendix A amended","62993, 63244"
225,"Appendix A amended; Appendix D revised; eff. 4-1-95","65926"
226,"Order","6532"
226,"Authority citation revised","40204"
226.15,"(e)(3) and Footnote 36b added","40204"
226.15,"(e)(4) and Footnote 36c added","63715"
226.16,"Footnotes 36b and 36c redesignated as 36c and 36d","40204"
226.16,"Footnotes 36c and 36d redesignated as Footnotes 36d and 36e","63715"
226.23,"(e)(3) and Footnote 48(b) added","40204"
226.23,"(e)(4) and Footnote 48c added","63715"
229,"Appendixes A and B-2 amended","48790"
230,"Determination","24032"
230.2,"(a) and (h) amended","52658"
230,"Supplement I added","40221"
230,"Supplement I amended","52658"
231,"Added","4784"
262.3,"(b)(1)(i)(D) revised; interim","54809"
263,"Authority citation revised","65245"
263.9,"(a) and (b) revised; (e) added; eff. 1-18-95","65245"
264b.3,"(d) amended","12805"
265.11,"(c)(11)(v) revised","22968"
268,"Revised","16098"
