Part,Change,Page
217.158,"Removed","47698"
217.159,"Redesignated as 204.131 and revised","47697"
217.160,"Removed","47698"
217.161,"Redesignated as 217.201 and revised","47699"
217.201,"Redesignated from 217.161 and revised","47699"
217.301,"Redesignated from 217.134 and revised","47698"
217.302,"Redesignated from 217.147 and revised","47698"
217.601,"Redesignated from 217.113","47698"
217.602,"Redesignated from 217.148","47698"
217.603,"Redesignated from 217.151","47698"
220,"OTC margin stock list","3218, 15941, 28538, 41963"
220.2,"(r)(2)(iii) amended; (r)(3) added; (r) introductory text republished","32292"
220.3,"(e)(4) added; eff. 1-25-88","48805"
221,"OTC margin stock list","3218, 15941, 28538, 41963"
221.3,"(b) revised; (c)(i) and (ii) redesignated as (c)(1) and (2); new (c)(1) revised","35683"
224,"OTC margin stock list","3218, 15941, 28538, 41963"
225.43,"(a) revised","23023"
225.43,"(c)(2) and (d) revised","23024"
225.123,"(e)(4) removed","45161"
226,"Authority citation revised","43181"
226.1,"(a),(d)(4), and (e) revised","45611"
226.1,"Technical correction","45611"
226.17,"(b) revised","48670"
226.18,"(f) and footnote 43 revised","48670"
226.19,"Revised","48670"
226.20,"(c) added","48671"
226.22,"Footnote 45a redesignated as 45d","48670"
226.30,"Added","43181"
226.30,"Technical correction","45611"
226,"Supplement I amended","10878"
226,"Appendix H amended","48671"
227.14,"Exemption granted in part","2400"
261,"Policy statement","15707"
261.4,"(g) removed","15300"
261.8,"Added","15300"
265.1a,"(a)(2) amended","43318"
