"part","page","change","year","fedreg_number"
"201.1",2719,"unknown","1951","16"
"204.5",162,"unknown","1951","16"
"204.52",1871,"unknown","1951","16"
"204.103",579,"unknown","1951","16"
"204.104",9306,"unknown","1951","16"
"206.10",1829,"unknown","1951","16"
"206.12",1829,"unknown","1951","16"
"206.17",1829,"unknown","1951","16"
"206.107",2832,"unknown","1951","16"
"206.108",4641,"unknown","1951","16"
"217.102-217.103",580,"unknown","1951","16"
"217.104",2559,"unknown","1951","16"
"218.101",4963,"unknown","1951","16"
"220.3",8880,"unknown","1951","16"
"220.4",8880,"unknown","1951","16"
"220.6",8880,"unknown","1951","16"
"220.8",453,"unknown","1951","16"
"221.4",455,"unknown","1951","16"
"222.129",1586,"unknown","1951","16"
"222.129",280,"unknown","1951","16"
"223",1586,"unknown","1951","16"
"225.5",1586,"unknown","1951","16"
"225.1-225.7",308,"unknown","1951","16"
"225.120-225.121",495,"unknown","1951","16"
"263.3",6812,"unknown","1951","16"
