"part","page","change","year","fedreg_number"
201.1,"884","unknown","1949","14"
201.2,"884","unknown","1949","14"
204.5,"2231, 3742, 5005","unknown","1949","14"
204.102,"7727","unknown","1949","14"
206.17,"2785","unknown","1949","14"
206.105,"3992","unknown","1949","14"
217.101,"7727","unknown","1949","14"
220.3,"2083","unknown","1949","14"
220.4,"2083, 2659, 4664","unknown","1949","14"
220.6,"2659","unknown","1949","14"
220.8,"1515","unknown","1949","14"
220.104,"4858","unknown","1949","14"
220.106,"4665","unknown","1949","14"
220.107,"4857","unknown","1949","14"
220.108,"5505","unknown","1949","14"
