"part","page","change","year","fedreg_number"
"206.106",3501,"unknown","1950","15"
"222.1-222.9",6118,"unknown","1950","15"
"222.6",6931,"unknown","1950","15"
"222.9",6931,"unknown","1950","15"
"222.101",6217,"unknown","1950","15"
"222.102",6540,"unknown","1950","15"
"222.103-222.106",6630,"unknown","1950","15"
"222.107-222.111",6985,"unknown","1950","15"
"222.112",7245,"unknown","1950","15"
"222.113-222.114",7315,"unknown","1950","15"
"222.115-222.117",7755,"unknown","1950","15"
"222.118",7827,"unknown","1950","15"
"222.119-222.123",8075,"unknown","1950","15"
"222.124-222.125",8559,"unknown","1950","15"
"222.126",8856,"unknown","1950","15"
"222.127-222.128",9383,"unknown","1950","15"
"223",6630,"unknown","1950","15"
"234.2-234.3",6218,"unknown","1950","15"
"234.4",6218,"unknown","1950","15"
"234.5",6218,"unknown","1950","15"
"234.7",6817,"unknown","1950","15"
"225.5",7831,"unknown","1950","15"
"225.6",7831,"unknown","1950","15"
"225.101-225.105",7179,"unknown","1950","15"
"225.106-225.109",7383,"unknown","1950","15"
"225.110-225.112",7798,"unknown","1950","15"
"225.113-225.115",8075,"unknown","1950","15"
"225.116-225.119",8713,"unknown","1950","15"
