"part","page","change","year","fedreg_number"
"201.103","4905","unknown","1962","27"
"204","7627","unknown","1962","27"
"204.5","10444","unknown","1962","27"
"204.54","8583","unknown","1962","27"
"204.55","8912","unknown","1962","27"
"204.101-204.107","8173","unknown","1962","27"
"206","9771, 10038","unknown","1962","27"
"209","12915","unknown","1962","27"
"210.2","10038","unknown","1962","27"
"214.5","1719","unknown","1962","27"
"214.6","1719","unknown","1962","27"
"215.102","2310","unknown","1962","27"
"217.3","10251","unknown","1962","27"
"217.123","392","unknown","1962","27"
"217.124","2763","unknown","1962","27"
"217.125","3511","unknown","1962","27"
"217.126","10791","unknown","1962","27"
"217.127","11798","unknown","1962","27"
"217.128","12918","unknown","1962","27"
"218.106","7954","unknown","1962","27"
"220.8","6749","unknown","1962","27"
"220.117","3511","unknown","1962","27"
"220.118","10885","unknown","1962","27"
"220.119","12346","unknown","1962","27"
"221.2","2830","unknown","1962","27"
"221.4","6749","unknown","1962","27"
"221.114","5538","unknown","1962","27"
"222.111","12671","unknown","1962","27"
"222.115","12918","unknown","1962","27"
"261.4","393","unknown","1962","27"
"262.2","504","unknown","1962","27"
"271","5188","unknown","1962","27"
"272","5189","unknown","1962","27"
