"part","page","change","year","fedreg_number"
204.1,12031,"unknown","1961","26"
204.107,8169,"unknown","1961","26"
206.12,4447,"unknown","1961","26"
208.103,5120,"unknown","1961","26"
208.104,9408,"unknown","1961","26"
217.1,12031,"unknown","1961","26"
217.6,11798,"unknown","1961","26"
217.121,2219,"unknown","1961","26"
217.122,11971,"unknown","1961","26"
218.104,868,"unknown","1961","26"
218.105,2456,"unknown","1961","26"
220.3,6073,"unknown","1961","26"
220.4,6073,"unknown","1961","26"
220.6,6073,"unknown","1961","26"
220.116,794,"unknown","1961","26"
221.2,6073,"unknown","1961","26"
221.3,6073,"unknown","1961","26"
221.113,4884,"unknown","1961","26"
261,12495,"unknown","1961","26"
262,12497,"unknown","1961","26"
262.4,10340,"unknown","1961","26"
263,12498,"unknown","1961","26"
