"part","page","change","year","fedreg_number"
"204.5","3750","unknown","1953","18"
"206.110","7189","unknown","1953","18"
"206.111","8442","unknown","1953","18"
"217.105","4005","unknown","1953","18"
"217.106","5505","unknown","1953","18"
"217.107","6206","unknown","1953","18"
"220.8","1129","unknown","1953","18"
"220.110","4592","unknown","1953","18"
"220.111","5505","unknown","1953","18"
"221.3","3409","unknown","1953","18"
"221.4","1129","unknown","1953","18"
"221.104","4592","unknown","1953","18"
"221.105-221.106","5505","unknown","1953","18"
"224.4","3113, 4422","unknown","1953","18"
"224.6","4191","unknown","1953","18"
