"part","page","change","year","fedreg_number"
"204.1","9656","unknown","1959","24"
"204.2","9656","unknown","1959","24"
"204.3","9656","unknown","1959","24"
"204.5","9656","unknown","1959","24"
"204.102","9977","unknown","1959","24"
"205.2","7029","unknown","1959","24"
"206.117","2804","unknown","1959","24"
"206.118","4906","unknown","1959","24"
"207.1","279, 7029","unknown","1959","24"
"207.51","279, 7029","unknown","1959","24"
"207.54","249","unknown","1959","24"
"208.1","279, 7029","unknown","1959","24"
"209.1","455, 7029","unknown","1959","24"
"210.3","279, 7030","unknown","1959","24"
"210.51","279, 7030","unknown","1959","24"
"210.54","249","unknown","1959","24"
"212.2","7030","unknown","1959","24"
"215.101","4139","unknown","1959","24"
"216.1","455","unknown","1959","24"
"217.3","7062","unknown","1959","24"
"217.114","8371","unknown","1959","24"
"218.2","8839","unknown","1959","24"
"219","7062","unknown","1959","24"
"220.3","3866","unknown","1959","24"
"220.8","3866","unknown","1959","24"
"220.107","4697","unknown","1959","24"
"220.114","4697","unknown","1959","24"
"220.115","7496","unknown","1959","24"
"220.116","8411, 8670","unknown","1959","24"
"221.1","3868","unknown","1959","24"
"221.2","279, 7030","unknown","1959","24"
"221.3","3868","unknown","1959","24"
"221.4","3869","unknown","1959","24"
"221.51","10331","unknown","1959","24"
"221.110","1858","unknown","1959","24"
"221.111","4698","unknown","1959","24"
"222.110","279","unknown","1959","24"
"222.111","1584","unknown","1959","24"
"222.112","1584","unknown","1959","24"
"224.2-224.4","2302, 5116, 7723","unknown","1959","24"
"224.5","2303, 5116, 7062","unknown","1959","24"
"224.6","1172","unknown","1959","24"
