"part","page","change","year","fedreg_number"
"204.5","1196, 2291, 2728","unknown","1958","23"
"206.6","10476","unknown","1958","23"
"206.19","10476","unknown","1958","23"
"206.116","2568","unknown","1958","23"
"211.3","8975","unknown","1958","23"
"211.10","8975","unknown","1958","23"
"220.8","381, 6102, 8117","unknown","1958","23"
"220.102","10476","unknown","1958","23"
"221.4","381, 6102, 8117","unknown","1958","23"
"221.109","8945","unknown","1958","23"
"222.104","2675","unknown","1958","23"
"222.105","6547","unknown","1958","23"
"222.106","7621","unknown","1958","23"
"222.107","7813","unknown","1958","23"
"222.108","8945","unknown","1958","23"
"222.109","9017","unknown","1958","23"
"224.2-224.4","1172, 2026, 3320, 7622, 8853","unknown","1958","23"
"224.5","1172, 2026, 3320, 7622, 8853","unknown","1958","23"
"224.6","1172","unknown","1958","23"
