"part","page","change","year","fedreg_number"
"201","263","unknown","1955","20"
"204.1","3305","unknown","1955","20"
"204.105","4207","unknown","1955","20"
"206.10","3305","unknown","1955","20"
"206.113","1127","unknown","1955","20"
"217.1","3305","unknown","1955","20"
"217.110","4209","unknown","1955","20"
"217.111","7355","unknown","1955","20"
"220.8","177, 2891","unknown","1955","20"
"220.112","1642","unknown","1955","20"
"221.4","177, 2891","unknown","1955","20"
"221.107","1643","unknown","1955","20"
"224.2-224.4","3182, 6046, 7098, 8774","unknown","1955","20"
"224.5","7098","unknown","1955","20"
"224.6","8774","unknown","1955","20"
"270","4643","unknown","1955","20"
"271.2","4644","unknown","1955","20"
"272.2","4644","unknown","1955","20"
"272.5","4645","unknown","1955","20"
