"part","page","change","year","fedreg_number"
"206.114-206.115","1483","unknown","1956","21"
"211","9899","unknown","1956","21"
"217.6","9691","unknown","1956","21"
"217.112","6269","unknown","1956","21"
"220.3","2812","unknown","1956","21"
"221.108","1094","unknown","1956","21"
"222","5686","unknown","1956","21"
"222.3","6887","unknown","1956","21"
"222.4","6887","unknown","1956","21"
"222.101","10472","unknown","1956","21"
"224.2","2601, 2719, 7142","unknown","1956","21"
"224.3","2601, 2719, 7143","unknown","1956","21"
"224.4","2601, 2719, 7143","unknown","1956","21"
"224.5","2601, 2719, 7143","unknown","1956","21"
"224.6","2601, 7143","unknown","1956","21"
