"part","page","change","year","fedreg_number"
"201.101","1435","unknown","1960","25"
"201.102","7044","unknown","1960","25"
"204.5","7713, 10495","unknown","1960","25"
"204.51","1397","unknown","1960","25"
"204.106","1818","unknown","1960","25"
"208.102","6875","unknown","1960","25"
"210.5","10495","unknown","1960","25"
"210.6","7782","unknown","1960","25"
"217.115","3395","unknown","1960","25"
"217.116","5923","unknown","1960","25"
"217.117","7620","unknown","1960","25"
"217.118","9845","unknown","1960","25"
"217.119","9845","unknown","1960","25"
"217.120","10868","unknown","1960","25"
"218.102","3464","unknown","1960","25"
"218.103","4427","unknown","1960","25"
"220.8","7312","unknown","1960","25"
"221.3","2098","unknown","1960","25"
"221.4","7313","unknown","1960","25"
"221.51","3154","unknown","1960","25"
"221.112","5923","unknown","1960","25"
"222.4","4898","unknown","1960","25"
"222.107","7485","unknown","1960","25"
"222.113","281","unknown","1960","25"
"222.114","8180","unknown","1960","25"
"224.2-224.4","5924, 8904","unknown","1960","25"
